step,value,metric,run
25000,1000.0,eval/mean_ep_length,runs\ab_balanced_items200_h1000\PPO_1
25000,1101.1107177734375,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_1
32768,1101.1107177734375,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9995041489601135,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9996160864830017,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9991239905357361,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9990959763526917,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9994466304779053,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9995681047439575,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.999138355255127,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9991079568862915,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
25000,0.999390184879303,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9995251297950745,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9991524815559387,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9991187453269958,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9993237257003784,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9994721412658691,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9991690516471863,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_1
32768,0.999131977558136,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/4/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/4/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
