Wall time,Step,Value
1767442151.382593,25000,-143.98886108398438
1767442155.0217853,32768,-143.98886108398438
1767442177.3929746,50000,-146.18881225585938
1767442184.7078307,65536,-146.18881225585938
1767442205.9295347,75000,-146.18881225585938
1767442217.857902,98304,-146.18881225585938
1767442235.6313004,100000,-146.18881225585938
1767442252.5568864,125000,-146.18881225585938
1767442255.541083,131072,-146.18881225585938
1767442281.0850677,150000,-146.18881225585938
1767442287.3335621,163840,-146.18881225585938
1767442308.9949613,175000,-146.18881225585938
1767442318.442762,196608,-146.18881225585938
1767442336.684718,200000,-146.18881225585938
1767442354.6384916,225000,-146.18881225585938
1767442357.035996,229376,-146.18881225585938
1767442382.5727196,250000,-145.08883666992188
1767442388.0212846,262144,-145.08883666992188
1767442411.1143186,275000,-146.18881225585938
1767442420.8673282,294912,-146.18881225585938
1767442440.3094938,300000,-146.18881225585938
1767442458.7289605,325000,-146.18881225585938
1767442460.0603213,327680,-146.18881225585938
1767442487.8057356,350000,-146.18881225585938
1767442492.7037027,360448,-146.18881225585938
1767442514.5629914,375000,-145.08883666992188
1767442522.7857482,393216,-145.08883666992188
1767442540.558151,400000,-146.18882751464844
1767442556.9185348,425000,-146.18882751464844
1767442557.4315245,425984,-146.18882751464844
1767442582.7932253,450000,-146.18881225585938
1767442586.7908428,458752,-146.18881225585938
1767442608.7286751,475000,-146.18881225585938
1767442616.1896212,491520,-146.18881225585938
1767442634.734854,500000,-146.18881225585938
1767442645.663197,524288,-146.18881225585938
1767442661.2603395,525000,-145.08883666992188
1767442677.5593753,550000,-145.08883666992188
1767442680.7778962,557056,-145.08883666992188
1767442703.925301,575000,-146.18881225585938
1767442710.5941794,589824,-146.18881225585938
1767442730.350881,600000,-146.18881225585938
1767442740.4694648,622592,-146.18881225585938
1767442756.875409,625000,-146.18881225585938
1767442773.1602502,650000,-146.18881225585938
1767442775.676753,655360,-146.18881225585938
1767442799.7903626,675000,-146.18881225585938
1767442805.6713915,688128,-146.18881225585938
1767442826.0202756,700000,-146.18881225585938
1767442835.4333172,720896,-146.18881225585938
1767442852.4435742,725000,-145.08883666992188
1767442868.731161,750000,-145.08883666992188
1767442870.4483972,753664,-145.08883666992188
1767442895.1478097,775000,-146.18881225585938
1767442900.34524,786432,-146.18881225585938
1767442921.5456223,800000,-145.08883666992188
1767442930.185036,819200,-145.08883666992188
1767442947.8625307,825000,-146.18881225585938
1767442964.1185937,850000,-146.18881225585938
1767442965.098401,851968,-146.18881225585938
1767442990.53955,875000,-146.18881225585938
1767442995.4537385,884736,-146.18881225585938
1767443020.614064,900000,-145.08883666992188
1767443028.9408522,917504,-145.08883666992188
1767443047.955926,925000,-146.18881225585938
1767443065.489672,950000,-146.18881225585938
1767443065.7059624,950272,-146.18881225585938
1767443091.7497451,975000,-146.18881225585938
1767443095.2270994,983040,-146.18881225585938
1767443117.371508,1000000,-146.18881225585938
1767443124.147487,1015808,-146.18881225585938
