Wall time,Step,Value
1767442151.382593,25000,0.0
1767442155.0227854,32768,57.0
1767442177.3929746,50000,1.0
1767442184.7078307,65536,20.0
1767442205.9295347,75000,6.0
1767442217.857902,98304,3.0
1767442235.6313004,100000,6.0
1767442252.5568864,125000,12.0
1767442255.541083,131072,91.0
1767442281.0850677,150000,22.0
1767442287.3335621,163840,47.0
1767442308.9949613,175000,33.0
1767442318.442762,196608,13.0
1767442336.6859434,200000,58.0
1767442354.6384916,225000,61.0
1767442357.035996,229376,0.0
1767442382.5727196,250000,76.0
1767442388.0212846,262144,80.0
1767442411.1143186,275000,95.0
1767442420.8673282,294912,35.0
1767442440.3094938,300000,133.0
1767442458.7289605,325000,0.0
1767442460.0603213,327680,13.0
1767442487.8057356,350000,1.0
1767442492.7037027,360448,0.0
1767442514.5629914,375000,8.0
1767442522.7857482,393216,90.0
1767442540.558151,400000,8.0
1767442556.9185348,425000,34.0
1767442557.4315245,425984,43.0
1767442582.7932253,450000,37.0
1767442586.7908428,458752,2.0
1767442608.7286751,475000,52.0
1767442616.1906233,491520,123.0
1767442634.734854,500000,64.0
1767442645.663197,524288,70.0
1767442661.2603395,525000,80.0
1767442677.5593753,550000,98.0
1767442680.7778962,557056,32.0
1767442703.926303,575000,124.0
1767442710.5941794,589824,3.0
1767442730.350881,600000,160.0
1767442740.4694648,622592,100.0
1767442756.875409,625000,3.0
1767442773.1602502,650000,6.0
1767442775.676753,655360,77.0
1767442799.7903626,675000,22.0
1767442805.6713915,688128,30.0
1767442826.0202756,700000,32.0
1767442835.4333172,720896,0.0
1767442852.4435742,725000,50.0
1767442868.731161,750000,45.0
1767442870.4493968,753664,97.0
1767442895.1478097,775000,67.0
1767442900.34524,786432,72.0
1767442921.5456223,800000,92.0
1767442930.185036,819200,19.0
1767442947.8625307,825000,105.0
1767442964.1185937,850000,114.0
1767442965.098401,851968,150.0
1767442990.53955,875000,140.0
1767442995.4537385,884736,97.0
1767443020.614064,900000,162.0
1767443028.9408522,917504,56.0
1767443047.955926,925000,1.0
1767443065.489672,950000,6.0
1767443065.7059624,950272,11.0
1767443091.75113,975000,22.0
1767443095.2270994,983040,147.0
1767443117.371508,1000000,33.0
1767443124.147487,1015808,92.0
