Wall time,Step,Value
1767447327.2653694,25000,9.0
1767447331.0501864,32768,139.0
1767447358.096697,50000,72.0
1767447364.7870271,65536,24.0
1767447387.518834,75000,203.0
1767447397.62022,98304,271.0
1767447417.70208,100000,332.0
1767447436.841432,125000,17.0
1767447439.5320663,131072,100.0
1767447466.4722598,150000,84.0
1767447472.4195008,163840,11.0
1767447495.8355641,175000,171.0
1767447505.2921324,196608,240.0
1767447525.8731747,200000,334.0
1767447545.1550171,225000,23.0
1767447547.1311626,229376,82.0
1767447574.873833,250000,101.0
1767447580.7200372,262144,4.0
1767447606.0982585,275000,208.0
1767447615.4667013,294912,195.0
1767447637.3528748,300000,342.0
1767447657.6753893,325000,29.0
1767447659.0289352,327680,64.0
1767447688.210033,350000,93.0
1767447693.2501411,360448,0.0
1767447718.8297071,375000,217.0
1767447727.4040802,393216,168.0
1767447749.3887558,400000,337.0
1767447769.7568789,425000,37.0
1767447770.2853503,425984,48.0
1767447800.417695,450000,122.0
1767447804.5817587,458752,307.0
1767447831.2686627,475000,215.0
1767447839.0159578,491520,124.0
1767447862.605163,500000,338.0
1767447873.973647,524288,27.0
1767447893.3579233,525000,31.0
1767447913.7742271,550000,127.0
1767447917.1753342,557056,273.0
1767447944.3256013,575000,215.0
1767447951.2792559,589824,128.0
1767447974.8951075,600000,327.0
1767447985.4393492,622592,13.0
1767448005.5334742,625000,40.0
1767448025.8730686,650000,135.0
1767448028.4772894,655360,227.0
1767448056.5869033,675000,230.0
1767448062.739228,688128,96.0
1767448087.086768,700000,339.0
1767448096.8354197,720896,1.0
1767448117.540541,725000,39.0
1767448137.813006,750000,142.0
1767448139.621736,753664,201.0
1767448168.1844578,775000,230.0
1767448173.5763874,786432,67.0
1767448198.6708672,800000,351.0
1767448207.648517,819200,318.0
1767448229.0911798,825000,49.0
1767448249.3584511,850000,139.0
1767448250.3407855,851968,154.0
1767448279.9152498,875000,229.0
1767448284.5622685,884736,42.0
1767448310.5022905,900000,354.0
1767448318.6570795,917504,290.0
1767448340.9868746,925000,34.0
1767448361.2656844,950000,129.0
1767448361.4674406,950272,140.0
1767448391.6273785,975000,240.0
1767448395.481119,983040,18.0
1767448422.1684554,1000000,341.0
1767448429.6912525,1015808,256.0
