Wall time,Step,Value
1767452045.0968416,25000,-143.98886108398438
1767452048.592448,32768,-143.98886108398438
1767452071.3438063,50000,-146.18881225585938
1767452078.1659334,65536,-146.18881225585938
1767452097.4246924,75000,-146.18881225585938
1767452107.4577405,98304,-146.18881225585938
1767452123.3816538,100000,-146.18881225585938
1767452139.3181283,125000,-146.18881225585938
1767452142.0213246,131072,-146.18881225585938
1767452165.233252,150000,-146.18881225585938
1767452171.356897,163840,-146.18881225585938
1767452191.3878515,175000,-146.18881225585938
1767452200.823738,196608,-146.18881225585938
1767452217.4154072,200000,-146.18881225585938
1767452233.2729325,225000,-146.18881225585938
1767452235.4133527,229376,-146.18881225585938
1767452259.5895247,250000,-145.08883666992188
1767452265.3423872,262144,-145.08883666992188
1767452286.411591,275000,-146.18881225585938
1767452295.7704494,294912,-146.18881225585938
1767452313.4246297,300000,-146.18881225585938
1767452330.389298,325000,-146.18881225585938
1767452331.725006,327680,-146.18881225585938
1767452357.2479224,350000,-146.18881225585938
1767452362.216317,360448,-146.18881225585938
1767452384.2098162,375000,-145.08883666992188
1767452392.7068253,393216,-145.08883666992188
1767452410.944191,400000,-146.18882751464844
1767452427.8150213,425000,-146.18882751464844
1767452428.3401382,425984,-146.18882751464844
1767452454.5782034,450000,-146.18881225585938
1767452458.7490792,458752,-146.18881225585938
1767452481.255082,475000,-146.18881225585938
1767452488.9870636,491520,-146.18881225585938
1767452507.9725907,500000,-146.18881225585938
1767452519.3276443,524288,-146.18881225585938
1767452535.2221713,525000,-145.08883666992188
1767452552.1273794,550000,-145.08883666992188
1767452555.5461247,557056,-145.08883666992188
1767452579.2927046,575000,-146.18881225585938
1767452586.2585762,589824,-146.18881225585938
1767452606.2954848,600000,-146.18881225585938
1767452616.956731,622592,-146.18881225585938
1767452633.5121503,625000,-146.18881225585938
1767452650.3799703,650000,-146.18881225585938
1767452652.9816723,655360,-146.18881225585938
1767452677.5851738,675000,-146.18881225585938
1767452683.761228,688128,-146.18881225585938
1767452704.6408339,700000,-146.18881225585938
1767452714.507977,720896,-146.18881225585938
1767452731.8503118,725000,-145.08883666992188
1767452748.8612502,750000,-145.08883666992188
1767452750.6599064,753664,-145.08883666992188
1767452775.90337,775000,-146.18881225585938
1767452781.3735282,786432,-146.18881225585938
1767452803.116542,800000,-145.08883666992188
1767452812.165244,819200,-145.08883666992188
1767452830.2274652,825000,-146.18881225585938
1767452847.091226,850000,-146.18881225585938
1767452848.1096783,851968,-146.18881225585938
1767452874.1412644,875000,-146.18881225585938
1767452878.781141,884736,-146.18881225585938
1767452901.366,900000,-145.08883666992188
1767452909.6054695,917504,-145.08883666992188
1767452928.4121451,925000,-146.18881225585938
1767452945.2537088,950000,-146.18881225585938
1767452945.4579828,950272,-146.18881225585938
1767452972.114938,975000,-146.18881225585938
1767452976.0225937,983040,-146.18881225585938
1767452998.9170542,1000000,-146.18881225585938
1767453006.4906085,1015808,-146.18881225585938
