Wall time,Step,Value
1767452045.0968416,25000,0.0
1767452048.592448,32768,57.0
1767452071.3438063,50000,1.0
1767452078.1659334,65536,20.0
1767452097.4246924,75000,6.0
1767452107.4577405,98304,3.0
1767452123.3816538,100000,6.0
1767452139.3181283,125000,12.0
1767452142.0213246,131072,91.0
1767452165.233252,150000,22.0
1767452171.356897,163840,47.0
1767452191.3878515,175000,33.0
1767452200.823738,196608,13.0
1767452217.4154072,200000,58.0
1767452233.2729325,225000,61.0
1767452235.4133527,229376,0.0
1767452259.5895247,250000,76.0
1767452265.3423872,262144,80.0
1767452286.411591,275000,95.0
1767452295.7704494,294912,35.0
1767452313.4246297,300000,133.0
1767452330.389298,325000,0.0
1767452331.725006,327680,13.0
1767452357.2479224,350000,1.0
1767452362.217318,360448,0.0
1767452384.2098162,375000,8.0
1767452392.7068253,393216,90.0
1767452410.944191,400000,8.0
1767452427.8150213,425000,34.0
1767452428.3401382,425984,43.0
1767452454.5782034,450000,37.0
1767452458.7490792,458752,2.0
1767452481.255082,475000,52.0
1767452488.9870636,491520,123.0
1767452507.9725907,500000,64.0
1767452519.3276443,524288,70.0
1767452535.2221713,525000,80.0
1767452552.1273794,550000,98.0
1767452555.5461247,557056,32.0
1767452579.2927046,575000,124.0
1767452586.2585762,589824,3.0
1767452606.2954848,600000,160.0
1767452616.956731,622592,100.0
1767452633.5121503,625000,3.0
1767452650.3799703,650000,6.0
1767452652.9816723,655360,77.0
1767452677.5851738,675000,22.0
1767452683.761228,688128,30.0
1767452704.6408339,700000,32.0
1767452714.507977,720896,0.0
1767452731.8503118,725000,50.0
1767452748.8612502,750000,45.0
1767452750.6599064,753664,97.0
1767452775.90337,775000,67.0
1767452781.3735282,786432,72.0
1767452803.116542,800000,92.0
1767452812.165244,819200,19.0
1767452830.2274652,825000,105.0
1767452847.091226,850000,114.0
1767452848.1096783,851968,150.0
1767452874.1412644,875000,140.0
1767452878.781141,884736,97.0
1767452901.366,900000,162.0
1767452909.6054695,917504,56.0
1767452928.4121451,925000,1.0
1767452945.2537088,950000,6.0
1767452945.4579828,950272,11.0
1767452972.114938,975000,22.0
1767452976.0225937,983040,147.0
1767452998.9170542,1000000,33.0
1767453006.4906085,1015808,92.0
