Wall time,Step,Value
1767474612.8606093,25000,0.0
1767474616.4699159,32768,57.0
1767474639.8041835,50000,1.0
1767474646.582544,65536,19.0
1767474666.108907,75000,6.0
1767474676.1726542,98304,3.0
1767474692.640481,100000,6.0
1767474708.6571276,125000,13.0
1767474711.4678767,131072,100.0
1767474735.2408535,150000,24.0
1767474741.708972,163840,43.0
1767474762.081208,175000,29.0
1767474771.3771791,196608,12.0
1767474788.3546417,200000,58.0
1767474804.2228398,225000,52.0
1767474806.2740655,229376,1.0
1767474831.3051956,250000,76.0
1767474836.9692225,262144,77.0
1767474857.9682753,275000,88.0
1767474866.5814831,294912,33.0
1767474884.0421526,300000,137.0
1767474899.8810885,325000,1.0
1767474901.0807264,327680,15.0
1767474925.4869606,350000,3.0
1767474930.0079653,360448,0.0
1767474951.5361273,375000,9.0
1767474959.310084,393216,81.0
1767474977.2787642,400000,14.0
1767474993.053434,425000,34.0
1767474993.5924962,425984,40.0
1767475020.5910249,450000,39.0
1767475024.9382114,458752,9.0
1767475049.1513188,475000,58.0
1767475057.165085,491520,114.0
1767475077.1885722,500000,69.0
1767475088.7627409,524288,72.0
1767475105.3394756,525000,77.0
1767475123.6263764,550000,118.0
1767475127.1181884,557056,34.0
1767475153.5997279,575000,131.0
1767475161.328272,589824,3.0
1767475182.7413378,600000,146.0
1767475193.5162842,622592,121.0
1767475210.8903015,625000,2.0
1767475229.0508657,650000,4.0
1767475231.937483,655360,77.0
1767475259.1351926,675000,20.0
1767475266.5191004,688128,28.0
1767475290.4834294,700000,34.0
1767475300.6444612,720896,0.0
1767475319.84749,725000,58.0
1767475337.8594174,750000,57.0
1767475339.8109224,753664,107.0
1767475366.2504122,775000,72.0
1767475371.741879,786432,55.0
1767475393.6748614,800000,85.0
1767475402.7160254,819200,19.0
1767475423.1171424,825000,114.0
1767475441.210224,850000,127.0
1767475442.2522209,851968,169.0
1767475470.165284,875000,135.0
1767475475.1328335,884736,104.0
1767475497.0257342,900000,154.0
1767475504.5042238,917504,53.0
1767475523.0709834,925000,6.0
1767475538.8547206,950000,8.0
1767475539.033612,950272,11.0
1767475565.1047978,975000,22.0
1767475568.920942,983040,148.0
1767475591.1972344,1000000,36.0
1767475598.2085423,1015808,95.0
