Wall time,Step,Value
1767476403.520139,25000,-143.98886108398438
1767476407.0721886,32768,-143.98886108398438
1767476430.496668,50000,-146.18881225585938
1767476437.3726277,65536,-146.18881225585938
1767476457.275957,75000,-146.18881225585938
1767476467.400676,98304,-146.18881225585938
1767476483.9418366,100000,-146.18881225585938
1767476500.5038679,125000,-146.18881225585938
1767476503.2221558,131072,-146.18881225585938
1767476526.7906058,150000,-146.18881225585938
1767476532.9872053,163840,-146.18881225585938
1767476553.3021927,175000,-146.18881225585938
1767476562.6816177,196608,-146.18881225585938
1767476579.4212573,200000,-146.18881225585938
1767476595.3602164,225000,-146.18881225585938
1767476597.3519225,229376,-146.18881225585938
1767476621.57821,250000,-145.08883666992188
1767476626.921594,262144,-145.08883666992188
1767476649.3608232,275000,-146.18881225585938
1767476659.0081744,294912,-146.18881225585938
1767476677.9644208,300000,-146.18881225585938
1767476696.0483735,325000,-146.18881225585938
1767476697.4904087,327680,-146.18881225585938
1767476724.4433706,350000,-146.18881225585938
1767476729.5237706,360448,-146.18881225585938
1767476752.4235525,375000,-145.08883666992188
1767476761.8974018,393216,-145.08883666992188
1767476781.228542,400000,-146.18882751464844
1767476799.3403366,425000,-146.18882751464844
1767476799.878446,425984,-146.18882751464844
1767476827.720135,450000,-146.18881225585938
1767476831.9266403,458752,-146.18881225585938
1767476854.9043143,475000,-146.18881225585938
1767476862.645106,491520,-146.18881225585938
1767476882.3244777,500000,-146.18881225585938
1767476893.7052474,524288,-146.18881225585938
1767476910.1490066,525000,-145.08883666992188
1767476927.2037594,550000,-145.08883666992188
1767476930.5420752,557056,-145.08883666992188
1767476954.4160335,575000,-146.18881225585938
1767476961.3699257,589824,-146.18881225585938
1767476981.7130795,600000,-146.18881225585938
1767476992.3060644,622592,-146.18881225585938
1767477009.0316079,625000,-146.18881225585938
1767477025.9220688,650000,-146.18881225585938
1767477028.495117,655360,-146.18881225585938
1767477053.0198333,675000,-146.18881225585938
1767477059.1950426,688128,-146.18881225585938
1767477080.7164974,700000,-146.18881225585938
1767477090.4928043,720896,-146.18881225585938
1767477108.1121323,725000,-145.08883666992188
1767477125.1690502,750000,-145.08883666992188
1767477126.9705966,753664,-145.08883666992188
1767477152.3565142,775000,-146.18881225585938
1767477157.803886,786432,-146.18881225585938
1767477179.6321387,800000,-145.08883666992188
1767477188.625086,819200,-145.08883666992188
1767477206.811432,825000,-146.18881225585938
1767477223.7480602,850000,-146.18881225585938
1767477224.7516463,851968,-146.18881225585938
1767477250.9058034,875000,-146.18881225585938
1767477255.5048764,884736,-146.18881225585938
1767477278.3125358,900000,-145.08883666992188
1767477286.4839242,917504,-145.08883666992188
1767477305.4465804,925000,-146.18881225585938
1767477322.2925026,950000,-146.18881225585938
1767477322.4912407,950272,-146.18881225585938
1767477349.4894624,975000,-146.18881225585938
1767477353.2847667,983040,-146.18881225585938
1767477376.4452353,1000000,-146.18881225585938
1767477383.9448757,1015808,-146.18881225585938
