Wall time,Step,Value
1767476403.520139,25000,0.0
1767476407.0721886,32768,57.0
1767476430.496668,50000,1.0
1767476437.3726277,65536,20.0
1767476457.275957,75000,6.0
1767476467.400676,98304,3.0
1767476483.9418366,100000,6.0
1767476500.5038679,125000,12.0
1767476503.2221558,131072,91.0
1767476526.7906058,150000,22.0
1767476532.9872053,163840,47.0
1767476553.3021927,175000,33.0
1767476562.6816177,196608,13.0
1767476579.4212573,200000,58.0
1767476595.3602164,225000,61.0
1767476597.3519225,229376,0.0
1767476621.57821,250000,76.0
1767476626.921594,262144,80.0
1767476649.3608232,275000,95.0
1767476659.0081744,294912,35.0
1767476677.9644208,300000,133.0
1767476696.0483735,325000,0.0
1767476697.4904087,327680,13.0
1767476724.4433706,350000,1.0
1767476729.5237706,360448,0.0
1767476752.4235525,375000,8.0
1767476761.8974018,393216,90.0
1767476781.228542,400000,8.0
1767476799.3403366,425000,34.0
1767476799.878446,425984,43.0
1767476827.720135,450000,37.0
1767476831.9266403,458752,2.0
1767476854.9043143,475000,52.0
1767476862.645106,491520,123.0
1767476882.3244777,500000,64.0
1767476893.7052474,524288,70.0
1767476910.1490066,525000,80.0
1767476927.2037594,550000,98.0
1767476930.5420752,557056,32.0
1767476954.4160335,575000,124.0
1767476961.3699257,589824,3.0
1767476981.7130795,600000,160.0
1767476992.3060644,622592,100.0
1767477009.0316079,625000,3.0
1767477025.9220688,650000,6.0
1767477028.495117,655360,77.0
1767477053.0198333,675000,22.0
1767477059.1950426,688128,30.0
1767477080.7164974,700000,32.0
1767477090.4928043,720896,0.0
1767477108.1121323,725000,50.0
1767477125.1690502,750000,45.0
1767477126.9705966,753664,97.0
1767477152.3565142,775000,67.0
1767477157.803886,786432,72.0
1767477179.6321387,800000,92.0
1767477188.625086,819200,19.0
1767477206.811432,825000,105.0
1767477223.7480602,850000,114.0
1767477224.7516463,851968,150.0
1767477250.9058034,875000,140.0
1767477255.5048764,884736,97.0
1767477278.3125358,900000,162.0
1767477286.4839242,917504,56.0
1767477305.4465804,925000,1.0
1767477322.2925026,950000,6.0
1767477322.4912407,950272,11.0
1767477349.4894624,975000,22.0
1767477353.2847667,983040,147.0
1767477376.4452353,1000000,33.0
1767477383.9448757,1015808,92.0
