Wall time,Step,Value
1767469727.399794,25000,0.0
1767469730.8612394,32768,57.0
1767469754.4445164,50000,1.0
1767469761.1911628,65536,19.0
1767469781.378163,75000,5.0
1767469791.4346583,98304,3.0
1767469807.7685387,100000,6.0
1767469823.6597934,125000,11.0
1767469826.3720214,131072,95.0
1767469849.9762106,150000,22.0
1767469855.9740407,163840,47.0
1767469876.5433016,175000,30.0
1767469885.8914473,196608,14.0
1767469903.609678,200000,61.0
1767469919.8260527,225000,62.0
1767469921.8101192,229376,0.0
1767469946.3093343,250000,73.0
1767469951.6453094,262144,81.0
1767469973.8247552,275000,108.0
1767469983.16735,294912,40.0
1767470001.2573223,300000,141.0
1767470018.2959113,325000,0.0
1767470019.6363537,327680,12.0
1767470045.1997726,350000,0.0
1767470050.1685853,360448,0.0
1767470072.2038634,375000,7.0
1767470080.8021784,393216,84.0
1767470099.1041179,400000,17.0
1767470116.0572562,425000,30.0
1767470116.578341,425984,42.0
1767470142.8651078,450000,43.0
1767470147.047556,458752,9.0
1767470169.6838484,475000,63.0
1767470177.4269848,491520,124.0
1767470196.7169526,500000,72.0
1767470208.0694196,524288,88.0
1767470223.8601491,525000,101.0
1767470240.7747922,550000,117.0
1767470244.1345484,557056,38.0
1767470268.1086109,575000,125.0
1767470275.189577,589824,1.0
1767470295.2711432,600000,162.0
1767470305.8537803,622592,118.0
1767470322.5590057,625000,2.0
1767470339.4267824,650000,5.0
1767470342.023094,655360,74.0
1767470366.490276,675000,19.0
1767470372.700213,688128,25.0
1767470393.7507408,700000,25.0
1767470403.556415,720896,1.0
1767470420.9168944,725000,47.0
1767470437.8836484,750000,55.0
1767470439.7323737,753664,113.0
1767470465.082862,775000,73.0
1767470470.4829164,786432,79.0
1767470492.1669526,800000,89.0
1767470501.2728884,819200,22.0
1767470519.290931,825000,107.0
1767470536.241615,850000,126.0
1767470537.232205,851968,160.0
1767470563.4624252,875000,156.0
1767470568.0688186,884736,113.0
1767470590.4375272,900000,157.0
1767470598.6592374,917504,63.0
1767470617.671978,925000,3.0
1767470634.6144881,950000,7.0
1767470634.8087115,950272,9.0
1767470661.8395593,975000,25.0
1767470665.6665697,983040,144.0
1767470688.6225266,1000000,37.0
1767470696.107975,1015808,87.0
