Wall time,Step,Value
1767533226.9186413,25000,-143.98886108398438
1767533231.7161121,32768,-143.98886108398438
1767533258.512896,50000,-146.18881225585938
1767533266.1094184,65536,-146.18881225585938
1767533287.3349884,75000,-146.18881225585938
1767533298.7553425,98304,-146.18881225585938
1767533316.10756,100000,-146.18881225585938
1767533334.0938752,125000,-146.18881225585938
1767533337.2605147,131072,-146.18881225585938
1767533364.0288055,150000,-146.18881225585938
1767533370.7361054,163840,-146.18881225585938
1767533393.5997198,175000,-146.18881225585938
1767533404.1348062,196608,-146.18881225585938
1767533423.557887,200000,-146.18881225585938
1767533441.3492038,225000,-146.18881225585938
1767533443.5613081,229376,-146.18881225585938
1767533470.5679226,250000,-145.08883666992188
1767533476.5018594,262144,-145.08883666992188
1767533499.5745106,275000,-146.18881225585938
1767533509.227136,294912,-146.18881225585938
1767533528.7127645,300000,-146.18881225585938
1767533546.5189805,325000,-146.18881225585938
1767533547.9309726,327680,-146.18881225585938
1767533575.2529628,350000,-146.18881225585938
1767533580.364764,360448,-146.18881225585938
1767533604.0347486,375000,-145.08883666992188
1767533612.8952312,393216,-145.08883666992188
1767533633.1625588,400000,-146.18882751464844
1767533651.0836756,425000,-146.18882751464844
1767533651.6545227,425984,-146.18882751464844
1767533679.6948075,450000,-146.18881225585938
1767533684.0043437,458752,-146.18881225585938
1767533708.632009,475000,-146.18881225585938
1767533716.615811,491520,-146.18881225585938
1767533737.310844,500000,-146.18881225585938
1767533749.2024367,524288,-146.18881225585938
1767533766.8929684,525000,-145.08883666992188
1767533784.8498836,550000,-145.08883666992188
1767533788.3011553,557056,-145.08883666992188
1767533814.1647336,575000,-146.18881225585938
1767533821.3793619,589824,-146.18881225585938
1767533843.685078,600000,-146.18881225585938
1767533854.6924062,622592,-146.18881225585938
1767533872.43807,625000,-146.18881225585938
1767533890.6368527,650000,-146.18881225585938
1767533893.2999332,655360,-146.18881225585938
1767533919.5298386,675000,-146.18881225585938
1767533925.9461167,688128,-146.18881225585938
1767533948.2088895,700000,-146.18881225585938
1767533958.4864063,720896,-146.18881225585938
1767533977.0386252,725000,-145.08883666992188
1767533994.893632,750000,-145.08883666992188
1767533996.7621152,753664,-145.08883666992188
1767534023.7074325,775000,-146.18881225585938
1767534029.2981448,786432,-146.18881225585938
1767534052.3652554,800000,-145.08883666992188
1767534061.7789886,819200,-145.08883666992188
1767534081.2283502,825000,-146.18881225585938
1767534099.1749475,850000,-146.18881225585938
1767534100.2221353,851968,-146.18881225585938
1767534128.0099032,875000,-146.18881225585938
1767534132.9440444,884736,-146.18881225585938
1767534157.153878,900000,-145.08883666992188
1767534165.7436707,917504,-145.08883666992188
1767534185.7840657,925000,-146.18881225585938
1767534203.6903121,950000,-146.18881225585938
1767534203.8987541,950272,-146.18881225585938
1767534233.220864,975000,-146.18881225585938
1767534237.0862255,983040,-146.18881225585938
1767534261.2481778,1000000,-146.18881225585938
1767534268.7287557,1015808,-146.18881225585938
