Wall time,Step,Value
1767535777.8675218,25000,0.0
1767535781.7504635,32768,57.0
1767535806.822577,50000,1.0
1767535814.464546,65536,20.0
1767535835.5292494,75000,5.0
1767535846.9344816,98304,3.0
1767535864.3208988,100000,6.0
1767535882.5714724,125000,12.0
1767535885.602053,131072,92.0
1767535911.1738298,150000,23.0
1767535918.0071747,163840,40.0
1767535940.054695,175000,32.0
1767535950.6466842,196608,12.0
1767535968.7964478,200000,55.0
1767535986.64068,225000,59.0
1767535988.964662,229376,1.0
1767536015.832082,250000,76.0
1767536021.9160376,262144,77.0
1767536044.7058623,275000,92.0
1767536054.6116223,294912,41.0
1767536073.5291657,300000,134.0
1767536091.5268493,325000,0.0
1767536092.9676957,327680,12.0
1767536120.3742836,350000,4.0
1767536125.5382733,360448,0.0
1767536149.144084,375000,10.0
1767536158.1086402,393216,75.0
1767536177.759854,400000,15.0
1767536195.6302888,425000,33.0
1767536196.172227,425984,43.0
1767536224.1259093,450000,33.0
1767536228.546255,458752,5.0
1767536253.0436795,475000,50.0
1767536261.2355263,491520,114.0
1767536282.0318646,500000,60.0
1767536294.1128473,524288,80.0
1767536311.151042,525000,92.0
1767536329.29267,550000,113.0
1767536332.7847755,557056,41.0
1767536358.2423906,575000,126.0
1767536365.4845786,589824,2.0
1767536386.7973118,600000,142.0
1767536397.895138,622592,116.0
1767536415.49173,625000,0.0
1767536433.2537766,650000,8.0
1767536435.9310744,655360,79.0
1767536461.7970552,675000,22.0
1767536468.3154569,688128,32.0
1767536490.5649073,700000,28.0
1767536500.890042,720896,1.0
1767536519.3586543,725000,49.0
1767536537.4003763,750000,51.0
1767536539.2182794,753664,109.0
1767536566.3282251,775000,68.0
1767536571.9419937,786432,63.0
1767536595.0837514,800000,87.0
1767536604.4571028,819200,16.0
1767536623.689532,825000,109.0
1767536641.3747568,850000,134.0
1767536642.4223623,851968,145.0
1767536670.0992272,875000,150.0
1767536674.8762374,884736,109.0
1767536698.680543,900000,170.0
1767536707.2568548,917504,53.0
1767536727.5697203,925000,4.0
1767536745.3081408,950000,7.0
1767536745.4818122,950272,10.0
1767536771.3745453,975000,25.0
1767536774.9044435,983040,151.0
1767536797.0202718,1000000,37.0
1767536803.8960783,1015808,96.0
