Wall time,Step,Value
1767543239.598628,25000,-143.98886108398438
1767543243.2570252,32768,-143.98886108398438
1767543267.910643,50000,-146.18881225585938
1767543275.678811,65536,-146.18881225585938
1767543296.9770908,75000,-145.08883666992188
1767543307.8083405,98304,-145.08883666992188
1767543324.942159,100000,-146.18882751464844
1767543341.8249135,125000,-146.18882751464844
1767543344.6768467,131072,-146.18882751464844
1767543369.157648,150000,-146.18882751464844
1767543375.5751173,163840,-146.18882751464844
1767543396.3778114,175000,-146.18882751464844
1767543406.3866632,196608,-146.18882751464844
1767543423.6261718,200000,-146.18881225585938
1767543440.5409029,225000,-146.18881225585938
1767543442.640178,229376,-146.18881225585938
1767543467.593537,250000,-145.08883666992188
1767543473.2745442,262144,-145.08883666992188
1767543494.830776,275000,-143.98886108398438
1767543504.0180511,294912,-143.98886108398438
1767543521.910175,300000,-146.18882751464844
1767543539.016654,325000,-146.18882751464844
1767543540.3704293,327680,-146.18882751464844
1767543566.0413177,350000,-146.18882751464844
1767543570.891657,360448,-146.18882751464844
1767543592.9304075,375000,-146.18882751464844
1767543601.3832498,393216,-146.18882751464844
1767543620.0851781,400000,-143.98886108398438
1767543636.9829795,425000,-143.98886108398438
1767543637.4919345,425984,-143.98886108398438
1767543664.0033827,450000,-143.98886108398438
1767543668.104412,458752,-143.98886108398438
1767543690.841499,475000,-146.18881225585938
1767543698.4437757,491520,-146.18881225585938
1767543717.7240636,500000,-146.18881225585938
1767543729.0414045,524288,-146.18881225585938
1767543744.9043834,525000,-146.18881225585938
1767543761.7066507,550000,-146.18881225585938
1767543765.0263238,557056,-146.18881225585938
1767543788.9455802,575000,-146.18881225585938
1767543795.781044,589824,-146.18881225585938
1767543816.1234486,600000,-146.18881225585938
1767543826.5607634,622592,-146.18881225585938
1767543843.3474429,625000,-143.9888458251953
1767543860.2530012,650000,-143.9888458251953
1767543862.7956722,655360,-143.9888458251953
1767543887.2520964,675000,-146.18881225585938
1767543893.3417284,688128,-146.18881225585938
1767543914.5402882,700000,-145.08883666992188
1767543924.1396365,720896,-145.08883666992188
1767543941.6469598,725000,-146.18882751464844
1767543958.3925364,750000,-146.18882751464844
1767543960.187252,753664,-146.18882751464844
1767543985.4782648,775000,-146.18881225585938
1767543990.7508397,786432,-146.18881225585938
1767544012.497941,800000,-145.08883666992188
1767544021.3223999,819200,-145.08883666992188
1767544039.5859122,825000,-145.08883666992188
1767544056.3004851,850000,-145.08883666992188
1767544057.3029218,851968,-145.08883666992188
1767544083.385803,875000,-146.18881225585938
1767544087.8988607,884736,-146.18881225585938
1767544110.3833053,900000,-146.18881225585938
1767544118.4127917,917504,-146.18881225585938
1767544137.4560466,925000,-146.18881225585938
1767544154.4106321,950000,-146.18881225585938
1767544154.6198146,950272,-146.18881225585938
1767544181.4771252,975000,-146.18881225585938
1767544185.2201252,983040,-146.18881225585938
1767544208.3904283,1000000,-146.18881225585938
1767544215.7441812,1015808,-146.18881225585938
