Wall time,Step,Value
1767539319.425883,25000,-143.98886108398438
1767539322.9102945,32768,-143.98886108398438
1767539346.2336576,50000,-146.18881225585938
1767539353.140473,65536,-146.18881225585938
1767539372.9551606,75000,-145.08883666992188
1767539383.1020696,98304,-145.08883666992188
1767539399.40703,100000,-146.18882751464844
1767539415.5859077,125000,-146.18882751464844
1767539418.9678,131072,-146.18882751464844
1767539448.2188973,150000,-146.18882751464844
1767539455.367143,163840,-146.18882751464844
1767539479.4372697,175000,-146.18882751464844
1767539491.2221878,196608,-146.18882751464844
1767539508.718924,200000,-146.18881225585938
1767539525.7996566,225000,-146.18881225585938
1767539527.8884187,229376,-146.18881225585938
1767539552.9820828,250000,-145.08883666992188
1767539558.6686502,262144,-145.08883666992188
1767539580.0926661,275000,-143.98886108398438
1767539589.488479,294912,-143.98886108398438
1767539607.189131,300000,-146.18882751464844
1767539624.161714,325000,-146.18882751464844
1767539625.4825351,327680,-146.18882751464844
1767539651.2491415,350000,-146.18882751464844
1767539656.163242,360448,-146.18882751464844
1767539678.1035056,375000,-146.18882751464844
1767539686.5789015,393216,-146.18882751464844
1767539705.1876097,400000,-143.98886108398438
1767539722.2805831,425000,-143.98886108398438
1767539722.8199925,425984,-143.98886108398438
1767539749.6094205,450000,-143.98886108398438
1767539753.7255979,458752,-143.98886108398438
1767539776.5883937,475000,-146.18881225585938
1767539784.236324,491520,-146.18881225585938
1767539803.4940612,500000,-146.18881225585938
1767539814.731978,524288,-146.18881225585938
1767539830.7439883,525000,-146.18881225585938
1767539847.561896,550000,-146.18881225585938
1767539850.880961,557056,-146.18881225585938
1767539874.7024865,575000,-146.18881225585938
1767539881.5758483,589824,-146.18881225585938
1767539902.0167048,600000,-146.18881225585938
1767539912.4448245,622592,-146.18881225585938
1767539929.2695718,625000,-143.9888458251953
1767539946.1657875,650000,-143.9888458251953
1767539948.79144,655360,-143.9888458251953
1767539973.3811204,675000,-146.18881225585938
1767539979.497163,688128,-146.18881225585938
1767540000.608263,700000,-145.08883666992188
1767540010.411332,720896,-145.08883666992188
1767540027.936717,725000,-146.18882751464844
1767540044.7749732,750000,-146.18882751464844
1767540046.5339625,753664,-146.18882751464844
1767540072.0425508,775000,-146.18881225585938
1767540077.3560278,786432,-146.18881225585938
1767540099.1733117,800000,-145.08883666992188
1767540108.0899687,819200,-145.08883666992188
1767540126.3312256,825000,-145.08883666992188
1767540143.3528454,850000,-145.08883666992188
1767540144.3370395,851968,-145.08883666992188
1767540170.46411,875000,-146.18881225585938
1767540174.9828796,884736,-146.18881225585938
1767540197.5078092,900000,-146.18881225585938
1767540205.637788,917504,-146.18881225585938
1767540224.409573,925000,-146.18881225585938
1767540241.2366116,950000,-146.18881225585938
1767540241.4325137,950272,-146.18881225585938
1767540268.323216,975000,-146.18881225585938
1767540272.075403,983040,-146.18881225585938
1767540295.0734122,1000000,-146.18881225585938
1767540302.507749,1015808,-146.18881225585938
