Wall time,Step,Value
1767539319.425883,25000,0.0
1767539322.9102945,32768,57.0
1767539346.2336576,50000,1.0
1767539353.140473,65536,19.0
1767539372.9551606,75000,6.0
1767539383.1020696,98304,3.0
1767539399.40703,100000,6.0
1767539415.5859077,125000,10.0
1767539418.9678,131072,94.0
1767539448.2188973,150000,24.0
1767539455.367143,163840,42.0
1767539479.4372697,175000,35.0
1767539491.2221878,196608,14.0
1767539508.718924,200000,59.0
1767539525.7996566,225000,54.0
1767539527.8884187,229376,0.0
1767539552.9820828,250000,76.0
1767539558.6686502,262144,77.0
1767539580.0926661,275000,94.0
1767539589.488479,294912,41.0
1767539607.189131,300000,128.0
1767539624.161714,325000,1.0
1767539625.4825351,327680,13.0
1767539651.2491415,350000,1.0
1767539656.163242,360448,0.0
1767539678.1035056,375000,10.0
1767539686.5789015,393216,73.0
1767539705.1886098,400000,15.0
1767539722.2805831,425000,33.0
1767539722.8199925,425984,44.0
1767539749.6094205,450000,36.0
1767539753.7255979,458752,6.0
1767539776.5883937,475000,56.0
1767539784.236324,491520,127.0
1767539803.4940612,500000,65.0
1767539814.731978,524288,73.0
1767539830.7439883,525000,79.0
1767539847.561896,550000,108.0
1767539850.880961,557056,29.0
1767539874.7024865,575000,128.0
1767539881.5758483,589824,2.0
1767539902.0167048,600000,145.0
1767539912.445985,622592,124.0
1767539929.2695718,625000,1.0
1767539946.1657875,650000,6.0
1767539948.79144,655360,83.0
1767539973.3811204,675000,16.0
1767539979.497163,688128,30.0
1767540000.608263,700000,33.0
1767540010.411332,720896,1.0
1767540027.936717,725000,57.0
1767540044.7749732,750000,51.0
1767540046.5339625,753664,110.0
1767540072.0425508,775000,74.0
1767540077.3560278,786432,65.0
1767540099.1733117,800000,98.0
1767540108.0899687,819200,22.0
1767540126.3312256,825000,100.0
1767540143.3528454,850000,132.0
1767540144.3370395,851968,148.0
1767540170.46411,875000,139.0
1767540174.9828796,884736,102.0
1767540197.5078092,900000,150.0
1767540205.637788,917504,53.0
1767540224.409573,925000,2.0
1767540241.2366116,950000,6.0
1767540241.4325137,950272,9.0
1767540268.323216,975000,15.0
1767540272.075403,983040,146.0
1767540295.0734122,1000000,37.0
1767540302.507749,1015808,89.0
