step,Alex,Bailey,Casey,Devi,Eden,Finley,Gray,Harper
25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98304,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100000,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
125000,1.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0
131072,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0
150000,6.0,5.0,3.0,3.0,1.0,1.0,4.0,5.0
163840,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0
175000,2.0,7.0,1.0,3.0,2.0,3.0,6.0,5.0
196608,0.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0
200000,8.0,5.0,7.0,6.0,5.0,5.0,3.0,10.0
225000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229376,1.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0
250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
262144,4.0,7.0,5.0,1.0,2.0,2.0,4.0,2.0
275000,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0
294912,3.0,10.0,4.0,3.0,7.0,2.0,4.0,6.0
300000,3.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0
325000,7.0,3.0,3.0,1.0,2.0,1.0,2.0,8.0
327680,5.0,6.0,10.0,3.0,5.0,3.0,7.0,7.0
350000,3.0,7.0,7.0,4.0,5.0,2.0,3.0,8.0
360448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375000,4.0,10.0,7.0,1.0,8.0,2.0,4.0,7.0
393216,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
400000,10.0,11.0,6.0,2.0,7.0,7.0,5.0,14.0
425000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425984,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
450000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
458752,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
475000,3.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0
491520,3.0,6.0,4.0,2.0,1.0,0.0,2.0,2.0
