step,value,metric,run
25000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
50000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
75000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
100000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
125000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
150000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
175000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
200000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
225000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
250000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
275000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
300000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
325000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
350000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
375000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
400000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
425000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
450000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
475000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
500000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
525000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
550000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
575000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
600000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
625000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
650000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
675000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
700000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
725000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
750000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
775000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
800000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
825000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
850000,1000.0,eval/mean_ep_length,ppo_hier_items200_h1000\PPO_1
