run,run_id,step,learner_idx,learner_name,mastered
runs\ab_balanced_items200_h1000\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ab_penalty1_items200_h1200\PPO_1,PPO_1,25000,0,Alex,1.0
runs\ppo_items200_h1000\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ppo_items200_h800\PPO_1,PPO_1,25000,0,Alex,1.0
runs\ppo_items500_h1000\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ppo_tutor_multi_items100\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ppo_tutor_multi_stage2\PPO_1,PPO_1,25000,0,Alex,2.0
runs\ppo_tutor_multi_stage3_bonus2\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ppo_tutor_multi_stage3_transition_bonus\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ppo_tutor_multi_stage4\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ppo_tutor_multi_v6\PPO_1,PPO_1,25000,0,Alex,0.0
runs\ab_balanced_items200_h1000\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ab_penalty1_items200_h1200\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_items200_h1000\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_items200_h800\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_items500_h1000\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_tutor_multi_items100\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_tutor_multi_stage2\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_tutor_multi_stage3_bonus2\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_tutor_multi_stage3_transition_bonus\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_tutor_multi_stage4\PPO_1,PPO_1,32768,0,Alex,0.0
runs\ppo_tutor_multi_v6\PPO_1,PPO_1,32768,0,Alex,1.0
runs\ab_penalty1_items200_h1200\PPO_1,PPO_1,50000,0,Alex,1.0
runs\ppo_items200_h1000\PPO_1,PPO_1,50000,0,Alex,1.0
