eval/mean_reward,eval/std_reward,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,eval/mean_ep_length
28.56384133333333,1.8805877796932409,,,,,,,,,,,,,,,,,
,,7,1,36.010671,2048,265,200.0,,,,,,,,,,,
,,7,2,33.58575725,4096,540,200.0,0.6976481698453426,0.307763671875,-0.034700623340904714,0.010933025,0.15,10,0.06961101293563843,-27.71492233276367,-0.04158119857311249,0.0001,
,,7,3,31.893355916666668,6144,820,200.0,0.7098289892077446,0.278564453125,-0.01940153135219589,0.011407353,0.15,20,0.535865068435669,-27.715812420845033,0.002499222755432129,0.0001,
,,7,4,30.512233125,8192,1098,200.0,0.7326878182590008,0.27001953125,-0.021164235769538207,0.012568083,0.15,30,0.616263747215271,-27.71622703075409,0.05718401074409485,0.0001,
,,7,5,30.443646374999997,10240,1374,200.0,1.1821781031787395,0.26884765625,-0.024554446240654216,0.011895519,0.15,40,0.49826276302337646,-27.71720669269562,0.24040348827838898,0.0001,
,,7,6,30.293998928571426,12288,1643,200.0,0.6842501074075699,0.27841796875,-0.020911171086481772,0.012366853,0.15,50,0.8020936250686646,-27.716053247451782,0.20033279061317444,0.0001,
,,7,7,30.537838984375,14336,1894,200.0,0.5969424784183502,0.2984375,-0.020944366650655865,0.011844344,0.15,60,0.8951830863952637,-27.7155081987381,-0.04354694485664368,0.0001,
39.833181333333336,,,,,16384,,,0.849679459631443,0.274365234375,-0.013177211524453013,0.011431428,0.15,70,0.9092538356781006,-27.71610758304596,0.10140037536621094,0.0001,200.0
,,7,8,30.640466012499996,16384,2295,200.0,,,,,,,,,,,
,,7,9,30.15454595454545,18432,2562,200.0,1.20265649035573,0.331640625,-0.018418386159464718,0.013816416,0.15,80,0.8673627376556396,-27.71382803916931,0.49582409858703613,0.0001,
,,7,10,30.12903548958333,20480,2819,200.0,0.3077144792303443,0.2697265625,-0.01743278528447263,0.010999301,0.15,90,0.9774007201194763,-27.71625144481659,0.0749707818031311,0.0001,
,,7,11,28.922577400000005,22528,3068,200.0,0.7726858168840408,0.2623046875,-0.016466349188704044,0.010145079,0.15,100,0.943611204624176,-27.716515994071962,0.23972325026988983,0.0001,
,,7,12,28.763867590000004,24576,3327,200.0,0.5348192093893885,0.290771484375,-0.021984303579665722,0.010215512,0.15,110,0.9547485113143921,-27.715918278694154,0.07798460125923157,0.0001,
,,7,13,29.041014880000002,26624,3552,200.0,0.4106892278417945,0.293017578125,-0.0195561608299613,0.012388855,0.15,120,0.9697957038879395,-27.71523163318634,0.024237260222434998,0.0001,
,,7,14,29.167671540000004,28672,3790,200.0,0.3386009467765689,0.31884765625,-0.022732254746370018,0.011546938,0.15,130,0.9640345573425293,-27.71478886604309,0.004990071058273315,0.0001,
,,7,15,29.57047496,30720,4027,200.0,0.5735969107598067,0.279052734375,-0.016829957108711824,0.014489114,0.15,140,0.9609107971191406,-27.716331028938292,0.28590524196624756,0.0001,
28.380815333333334,,,,,32768,,,1.1434612937271595,0.261572265625,-0.018280276325822343,0.012067955,0.15,150,0.9388540983200073,-27.716100096702576,0.21429818868637085,0.0001,200.0
,,7,16,29.66439088,32768,4403,200.0,,,,,,,,,,,
,,7,17,29.24509798,34816,4745,200.0,0.1654507078230381,0.296875,-0.02633440909557976,0.013090961,0.15,160,0.9838418364524841,-27.715238308906557,-0.11917146295309067,0.0001,
,,7,18,29.617482260000003,36864,5061,200.0,0.3545954475179315,0.2537109375,-0.014782444643788039,0.010229777,0.15,170,0.9790025949478149,-27.716955518722536,-0.015573590993881226,0.0001,
,,7,19,29.433111720000003,38912,5340,200.0,0.48528573736548425,0.318701171875,-0.01976183130755089,0.011617016,0.15,180,0.972264289855957,-27.714204144477844,0.002056717872619629,0.0001,
,,7,20,29.756435240000002,40960,5571,200.0,0.21154908314347268,0.277587890625,-0.027310349832987413,0.009639499,0.15,190,0.9860427975654602,-27.716865968704223,-0.07679277658462524,0.0001,
,,7,21,29.892155900000002,43008,5808,200.0,0.1981273322366178,0.2796875,-0.020801200065761805,0.011051515,0.15,200,0.9841310381889343,-27.715833020210265,-0.12037764489650726,0.0001,
,,7,22,29.966548379999995,45056,6106,200.0,0.23302257237955928,0.316357421875,-0.02282760674133897,0.011085815,0.15,210,0.9788418412208557,-27.714657616615295,-0.10618918389081955,0.0001,
,,7,23,29.799339120000003,47104,6344,200.0,0.28256635200232266,0.3212890625,-0.019582185288891198,0.014405438,0.15,220,0.9785736203193665,-27.71444787979126,-0.036215707659721375,0.0001,
27.397528000000005,,,,,49152,,,0.191680653905496,0.271044921875,-0.015474698890466243,0.010062917,0.15,230,0.98624187707901,-27.71618163585663,-0.13515439629554749,0.0001,200.0
,,7,24,29.79517931,49152,6625,200.0,,,,,,,,,,,
,,7,25,29.37685349,51200,6847,200.0,0.20435954872518777,0.335107421875,-0.020930351264541968,0.012439929,0.15,240,0.9889706373214722,-27.713988018035888,-0.038875892758369446,0.0001,
,,7,26,29.320983939999998,53248,7074,200.0,0.31675965785980226,0.27333984375,-0.018378706357907504,0.010305428,0.15,250,0.9816200137138367,-27.716152000427247,-0.0248175710439682,0.0001,
,,7,27,29.58516982,55296,7305,200.0,0.07236995797138661,0.27666015625,-0.02276666578836739,0.0117409965,0.15,260,0.9955129623413086,-27.716164469718933,-0.1300714910030365,0.0001,
,,7,28,29.430900700000002,57344,7565,200.0,0.10352845368906856,0.3205078125,-0.01835077445139177,0.013752127,0.15,270,0.9937949776649475,-27.71462199687958,-0.14594043791294098,0.0001,
,,7,29,29.130790230000006,59392,7800,200.0,0.1318894908297807,0.34755859375,-0.02206616715993732,0.012288745,0.15,280,0.9880076050758362,-27.7132497549057,-0.10488476604223251,0.0001,
,,7,30,29.54283745,61440,8061,200.0,0.11072342395782471,0.3341796875,-0.019798353035002946,0.012947854,0.15,290,0.9955276846885681,-27.714149713516235,-0.13025404512882233,0.0001,
,,7,31,29.898641019999996,63488,8326,200.0,0.12518460266292095,0.313623046875,-0.01733341097715311,0.011898291,0.15,300,0.9948290586471558,-27.71471471786499,-0.13957332074642181,0.0001,
28.395330333333334,,,,,65536,,,0.05456217562314123,0.3173828125,-0.023716796172084286,0.012660519,0.15,310,0.9968696236610413,-27.71430172920227,-0.16473878920078278,0.0001,200.0
,,7,32,29.82157721,65536,8668,200.0,,,,,,,,,,,
