eval/mean_reward,eval/std_reward,debug/correct_rate,debug/fairness_penalty,debug/prob_gain_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl
-6.424446333333333,1.2198030618080211,,,,,,,,,,,,,,,,,,,
,,0.0,0.00023649712093174458,0.459015388137304,,,,,,,,,,,,,,,,
,,0.0,0.0001967964693903923,0.459015388137304,,,,,,,,,,,,,,,,
,,0.0,0.00014907466247677804,0.459015388137304,,,,,,,,,,,,,,,,
,,0.0,0.00040237996727228166,0.48530712811515136,,,,,,,,,,,,,,,,
,,,,,6,314,200.0,1,2048,-7.255531750000001,,,,,,,,,,
,,0.0,0.0003600139636546374,0.48530712811515136,,,,,,,0.15,0.315185546875,-0.15658371150493622,0.08971306392922998,0.0001,10,-27.714377784729002,-0.03277498729294166,0.11750215291976929,0.012040883
,,0.0,0.0002844061702489853,0.48530712811515136,,,,,,,,,,,,,,,,
,,0.0,0.00015350392786785962,0.4450860645647829,,,,,,,,,,,,,,,,
,,0.0,0.00016100167995318772,0.4450860645647829,,,,,,,,,,,,,,,,
,,,,,6,648,200.0,2,4096,-6.456093750000001,,,,,,,,,,
,,0.0,0.00013651917688548565,0.4450860645647829,,,,,,,0.15,0.27998046875,-0.15075995028018951,0.09547611991874874,0.0001,20,-27.71611280441284,-0.021637739753350614,0.45182764530181885,0.0109528415
,,0.0,0.00022455267608165742,0.4383276977863797,,,,,,,,,,,,,,,,
,,0.0,0.0002604532986879349,0.4383276977863797,,,,,,,,,,,,,,,,
,,0.0,0.00024558703880757095,0.4383276977863797,,,,,,,,,,,,,,,,
,,,,,6,952,200.0,3,6144,-7.588082249999999,,,,,,,,,,
,,0.0,0.00034608789719641213,0.44971691349936116,,,,,,,0.15,0.262060546875,-0.14420203864574432,0.09661934236064554,0.0001,30,-27.715861082077026,-0.018920410895952956,0.5680332183837891,0.011786755
,,0.0,0.0003432069439440966,0.44971691349936116,,,,,,,,,,,,,,,,
